Time,Angola,Australia,Benin,Brazil,Mexico,Niger
2010-01-01 00:00:00+00:00,90001.31968665123,2485266.024140167,18.626000022888185,5157029.58732605,1205266.2982201576,0.27666666110356647
2011-01-01 00:00:00+00:00,102067.0963974595,3621871.6089202883,20.629664039611818,10278637.093399048,3600562.393350363,18.974999994039536
2012-01-01 00:00:00+00:00,416537.82934999466,3675737.6192003884,20.7,13190375.607820893,5384561.445983251,1.0499999523162842
2013-01-01 00:00:00+00:00,519991.1871780396,4299246.24424998,38257.58218002319,20621644.32980118,5769114.339850108,16667.13999332984
2014-01-01 00:00:00+00:00,726560.5473602295,4504748.591166179,60390.54726200104,31579456.761159517,10290602.468039703,32940.421156394485
2015-01-01 00:00:00+00:00,669250.4883330663,5043417.152917226,76866.1388484637,30081067.826850254,10653325.037600199,59015.708598315716
2016-01-01 00:00:00+00:00,670917.8322167397,5257418.798501332,146944.65423321724,30617736.238466263,12512226.824850082,68275.05042334397
2017-01-01 00:00:00+00:00,725710.5667832693,5496752.949999492,224392.10010035834,31475907.021532696,27034407.58516693,141626.69799506664
2018-01-01 00:00:00+00:00,970063.4327332178,5378086.076166789,378967.55996672314,30761907.064167023,12613028.293427603,790003.5604701042
2019-01-01 00:00:00+00:00,1123444.3247998555,5457420.084149678,422093.8995666504,30631570.9340833,13919403.998215811,468859.1450333595
